Text,Label,Language
masturbation,Harmful,English
menage a trois,Harmful,English
milf,Harmful,English
missionary position,Harmful,English
mong,Harmful,English
motherfucker,Harmful,English
mound of venus,Harmful,English
mr hands,Harmful,English
muff diver,Harmful,English
muffdiving,Harmful,English
nambla,Harmful,English
nawashi,Harmful,English
negro,Harmful,English
neonazi,Harmful,English
nigga,Harmful,English
nigger,Harmful,English
nig nog,Harmful,English
nimphomania,Harmful,English
nipple,Harmful,English
nipples,Harmful,English
nsfw,Harmful,English
nsfw images,Harmful,English
nude,Harmful,English
nudity,Harmful,English
nutten,Harmful,English
nympho,Harmful,English
nymphomania,Harmful,English
octopussy,Harmful,English
omorashi,Harmful,English
one cup two girls,Harmful,English
one guy one jar,Harmful,English
orgasm,Harmful,English
orgy,Harmful,English
paedophile,Harmful,English
paki,Harmful,English
panties,Harmful,English
panty,Harmful,English
pedobear,Harmful,English
pedophile,Harmful,English
pegging,Harmful,English
penis,Harmful,English
phone sex,Harmful,English
piece of shit,Harmful,English
pikey,Harmful,English
pissing,Harmful,English
piss pig,Harmful,English
pisspig,Harmful,English
playboy,Harmful,English
pleasure chest,Harmful,English
pole smoker,Harmful,English
ponyplay,Harmful,English
poof,Harmful,English
poon,Harmful,English
poontang,Harmful,English
punany,Harmful,English
poop chute,Harmful,English
poopchute,Harmful,English
porn,Harmful,English
porno,Harmful,English
pornography,Harmful,English
prince albert piercing,Harmful,English
pthc,Harmful,English
pubes,Harmful,English
pussy,Harmful,English
queaf,Harmful,English
queef,Harmful,English
quim,Harmful,English
raghead,Harmful,English
raging boner,Harmful,English
rape,Harmful,English
raping,Harmful,English
rapist,Harmful,English
rectum,Harmful,English
reverse cowgirl,Harmful,English
rimjob,Harmful,English
rimming,Harmful,English
rosy palm,Harmful,English
rosy palm and her sisters,Harmful,English
rusty trombone,Harmful,English
sadism,Harmful,English
santorum,Harmful,English
scat,Harmful,English
schlong,Harmful,English
scissoring,Harmful,English
semen,Harmful,English
sex,Harmful,English
sexcam,Harmful,English
sexo,Harmful,English
sexy,Harmful,English
sexual,Harmful,English
sexually,Harmful,English
sexuality,Harmful,English
shaved beaver,Harmful,English
shaved pussy,Harmful,English
shemale,Harmful,English
shibari,Harmful,English
shit,Harmful,English
shitblimp,Harmful,English
shitty,Harmful,English
shota,Harmful,English
shrimping,Harmful,English
skeet,Harmful,English
slanteye,Harmful,English
slut,Harmful,English
sm,Harmful,English
smut,Harmful,English
snatch,Harmful,English
snowballing,Harmful,English
sodomize,Harmful,English
sodomy,Harmful,English
spastic,Harmful,English
spic,Harmful,English
splooge,Harmful,English
splooge moose,Harmful,English
spooge,Harmful,English
spread legs,Harmful,English
spunk,Harmful,English
strap on,Harmful,English
strapon,Harmful,English
strappado,Harmful,English
strip club,Harmful,English
style doggy,Harmful,English
suck,Harmful,English
sucks,Harmful,English
suicide girls,Harmful,English
sultry women,Harmful,English
swastika,Harmful,English
swinger,Harmful,English
tainted love,Harmful,English
taste my,Harmful,English
tea bagging,Harmful,English
threesome,Harmful,English
throating,Harmful,English
thumbzilla,Harmful,English
tied up,Harmful,English
tight white,Harmful,English
tit,Harmful,English
tits,Harmful,English
titties,Harmful,English
titty,Harmful,English
tongue in a,Harmful,English
topless,Harmful,English
tosser,Harmful,English
towelhead,Harmful,English
tranny,Harmful,English
tribadism,Harmful,English
tub girl,Harmful,English
tubgirl,Harmful,English
tushy,Harmful,English
twat,Harmful,English
twink,Harmful,English
twinkie,Harmful,English
two girls one cup,Harmful,English
undressing,Harmful,English
upskirt,Harmful,English
urethra play,Harmful,English
urophilia,Harmful,English
vagina,Harmful,English
venus mound,Harmful,English
viagra,Harmful,English
vibrator,Harmful,English
violet wand,Harmful,English
vorarephilia,Harmful,English
voyeur,Harmful,English
voyeurweb,Harmful,English
voyuer,Harmful,English
vulva,Harmful,English
wank,Harmful,English
wetback,Harmful,English
wet dream,Harmful,English
white power,Harmful,English
whore,Harmful,English
worldsex,Harmful,English
wrapping men,Harmful,English
wrinkled starfish,Harmful,English
xx,Harmful,English
xxx,Harmful,English
yaoi,Harmful,English
yellow showers,Harmful,English
yiffy,Harmful,English
zoophilia,Harmful,English
🖕fool,Harmful,English
stupid,Harmful,English
dumb,Harmful,English
idiot,Harmful,English
nonsense,Harmful,English
useless,Harmful,English
failure,Harmful,English
worthless,Harmful,English
waste of space,Harmful,English
nobody cares,Harmful,English
you are nothing,Harmful,English
pathetic,Harmful,English
loser,Harmful,English
get lost,Harmful,English
you are disgusting,Harmful,English
no one likes you,Harmful,English
shame on you,Harmful,English
you make no sense,Harmful,English
stop talking nonsense,Harmful,English
you cant do anything right,Harmful,English
you are annoying,Harmful,English
what a joke,Harmful,English
you are weak,Harmful,English
your brain doesnt work,Harmful,English
nobody needs you,Harmful,English
just shut up,Harmful,English
you are a pain,Harmful,English
dumbass,Harmful,English
youre such a mess,Harmful,English
youre always wrong,Harmful,English
cant you do anything right,Harmful,English
you ruin everything,Harmful,English
how are you doing today,Non-Harmful,English
i hope you have a great day ahead,Non-Harmful,English
please let me know if you need any help,Non-Harmful,English
its a beautiful morning isnt it,Non-Harmful,English
i enjoy reading books on weekends,Non-Harmful,English
lets meet for coffee sometime soon,Non-Harmful,English
thank you for your kind support,Non-Harmful,English
she is a very talented artist,Non-Harmful,English
he works hard to achieve his goals,Non-Harmful,English
i appreciate your hard work,Non-Harmful,English
can you please share the details with me,Non-Harmful,English
it’s important to stay positive in life,Non-Harmful,English
always be kind to others,Non-Harmful,English
i love spending time with my family,Non-Harmful,English
they are planning a vacation next month,Non-Harmful,English
congratulations on your achievement,Non-Harmful,English
i enjoy listening to music in my free time,Non-Harmful,English
lets go for a walk this evening,Non-Harmful,English
i like learning new things every day,Non-Harmful,English
the weather is pleasant today,Non-Harmful,English
reading helps improve vocabulary,Non-Harmful,English
i prefer tea over coffee,Non-Harmful,English
exercise is important for good health,Non-Harmful,English
he is a great team player,Non-Harmful,English
i am learning how to cook new recipes,Non-Harmful,English
traveling opens your mind to new ideas,Non-Harmful,English
she is very polite and humble,Non-Harmful,English
thank you for inviting me to the event,Non-Harmful,English
its nice to meet new people,Non-Harmful,English
they organized a wonderful event,Non-Harmful,English
i admire your dedication,Non-Harmful,English
let’s discuss this during our meeting,Non-Harmful,English
i enjoy working in a calm environment,Non-Harmful,English
the children are playing happily,Non-Harmful,English
i am grateful for this opportunity,Non-Harmful,English
success comes with patience and effort,Non-Harmful,English
she gave a fantastic presentation,Non-Harmful,English
i love spending time in nature,Non-Harmful,English
cleanliness is very important,Non-Harmful,English
he offered help without being asked,Non-Harmful,English
i like painting during my free time,Non-Harmful,English
books are a great source of knowledge,Non-Harmful,English
fresh air is good for health,Non-Harmful,English
thank you for your time,Non-Harmful,English
i respect your opinion,Non-Harmful,English
it’s nice to share good news,Non-Harmful,English
she smiled warmly at everyone,Non-Harmful,English
i enjoy peaceful mornings,Non-Harmful,English
we should treat everyone equally,Non-Harmful,English
positive thoughts bring happiness,Non-Harmful,English
helping others is a noble act,Non-Harmful,English
i believe in hard work and honesty,Non-Harmful,English
i admire your creativity,Non-Harmful,English
keep up the good work,Non-Harmful,English
he is always punctual,Non-Harmful,English
she has a lovely singing voice,Non-Harmful,English
i enjoy writing in my journal,Non-Harmful,English
kind words can brighten someones day,Non-Harmful,English
lets plant more trees,Non-Harmful,English
i’m proud of your efforts,Non-Harmful,English
they welcomed us warmly,Non-Harmful,English
life is full of beautiful moments,Non-Harmful,English
please take care of yourself,Non-Harmful,English
i enjoy cooking meals for my family,Non-Harmful,English
the sunset looks beautiful today,Non-Harmful,English
i appreciate your feedback,Non-Harmful,English
she makes delicious desserts,Non-Harmful,English
i love animals and nature,Non-Harmful,English
he is a very responsible person,Non-Harmful,English
good communication builds trust,Non-Harmful,English
i enjoy learning about different cultures,Non-Harmful,English
staying calm solves many problems,Non-Harmful,English
they celebrated with great joy,Non-Harmful,English
laughter is the best medicine,Non-Harmful,English
i am happy to help you,Non-Harmful,English
please stay safe and healthy,Non-Harmful,English
she loves gardening in her free time,Non-Harmful,English
the park is clean and green,Non-Harmful,English
reading newspapers keeps you informed,Non-Harmful,English
i admire your honesty,Non-Harmful,English
i enjoy watching motivational videos,Non-Harmful,English
he is very respectful towards others,Non-Harmful,English
the library is a quiet place to study,Non-Harmful,English
i love spending weekends with my family,Non-Harmful,English
music can uplift your mood,Non-Harmful,English
fresh flowers make me happy,Non-Harmful,English
i like keeping my workspace tidy,Non-Harmful,English
she encourages others to do well,Non-Harmful,English
let’s work together as a team,Non-Harmful,English
a smile spreads positivity,Non-Harmful,English
healthy food keeps us fit,Non-Harmful,English
traveling teaches us valuable lessons,Non-Harmful,English
i enjoy learning new languages,Non-Harmful,English
it’s nice to express gratitude,Non-Harmful,English
good habits shape our future,Non-Harmful,English
she reads bedtime stories to her kids,Non-Harmful,English
i love watching the stars at night,Non-Harmful,English
respecting elders is important,Non-Harmful,English
i am excited for the upcoming holiday,Non-Harmful,English
happiness grows when we share iti hope you are doing well,Non-Harmful,English
that’s a great achievement,Non-Harmful,English
i respect your dedication,Non-Harmful,English
keep going you are doing amazing,Non-Harmful,English
thank you for your encouragement,Non-Harmful,English
i really appreciate your kindness,Non-Harmful,English
i’m grateful to have friends like you,Non-Harmful,English
this was really helpful thank you,Non-Harmful,English
you handled that situation well,Non-Harmful,English
stay positive and keep smiling,Non-Harmful,English
you are a wonderful person,Non-Harmful,English
thank you for being understanding,Non-Harmful,English
your efforts truly inspire me,Non-Harmful,English
wishing you all the best,Non-Harmful,English
your work is always appreciated,Non-Harmful,English
thank you for your patience,Non-Harmful,English
you make everyone feel welcome,Non-Harmful,English
i am glad to know you,Non-Harmful,English
keep shining bright,Non-Harmful,English
i love your positive attitude,Non-Harmful,English
तू कितना बड़ा भोसड़ी के हो गया है।,Harmful,Hindi
तुझसे बात करने का कोई फायदा नहीं बेहेनचोद।,Harmful,Hindi
हर वक्त लंड की तरह खड़ा रहता है।,Harmful,Hindi
तू खुद को क्या समझता है भडवे,Harmful,Hindi
तेरी सोच तो पूरी चूतिये जैसी है।,Harmful,Hindi
तेरी शक्ल देखकर गांड फट गई।,Harmful,Hindi
तू साला हरामी निकला।,Harmful,Hindi
तुझ जैसे भंगी को कौन पूछता है।,Harmful,Hindi
तेरी हरकतें सुअर की औलाद जैसी हैं।,Harmful,Hindi
तेरी औकात नहीं है मादरचोद।,Harmful,Hindi
तुझे देखकर लगता है हिजड़े जैसा।,Harmful,Hindi
तू हमेशा झांट के बाल की तरह बीच में आता है।,Harmful,Hindi
तेरी अक्ल पूरी तरह गांडमस्ती में है।,Harmful,Hindi
तू दिखने में भी भडवा लगता है।,Harmful,Hindi
तुझे तो भूतनी के पकड़ ले।,Harmful,Hindi
तू साला कमीना इंसान है।,Harmful,Hindi
तेरी बातों से तत्ते जल जाते हैं।,Harmful,Hindi
तू तो लंड का टुकड़ा है।,Harmful,Hindi
तू हमेशा चूत की तरह चुप रहता है।,Harmful,Hindi
तेरे जैसे गुच्ची को कोई पसंद नहीं करता।,Harmful,Hindi
तेरे जैसा रंडी बाज़ार में मिलेगा।,Harmful,Hindi
तेरी हरकतें चुतड़ जैसी हैं।,Harmful,Hindi
तू पूरा पाकी जैसा हरकत करता है।,Harmful,Hindi
तेरी मां की चूत में जा।,Harmful,Hindi
तुझसे ज्यादा गंदा कोई भोसड़ाप नहीं है।,Harmful,Hindi
तेरे जैसे गंडू की कोई इज्जत नहीं।,Harmful,Hindi
तू हमेशा मुठ्ठ मारने में लगा रहता है।,Harmful,Hindi
तेरे जैसे कुत्ते की औलाद की बात नहीं सुनता कोई।,Harmful,Hindi
तू साला रांड की औलाद है।,Harmful,Hindi
तेरी शक्ल भोसड़ी के जैसी है।,Harmful,Hindi
तेरा दिमाग नजायज औलाद जैसा है।,Harmful,Hindi
तेरा हर कदम सुअर के लंड जैसा गंदा है।,Harmful,Hindi
तुझे देखकर घस्से चढ़ते हैं।,Harmful,Hindi
तेरे जैसे चमचे की कोई इज्जत नहीं।,Harmful,Hindi
तू हर वक्त लंडटूपी जैसा रहता है।,Harmful,Hindi
तेरी मां की भोसड़ी फाड़ दूँगा।,Harmful,Hindi
तेरे जैसे ठरकी से कौन दोस्ती करेगा।,Harmful,Hindi
तू सिर्फ लोडू है।,Harmful,Hindi
तेरे जैसा झांटु बहुत देखा मैंने।,Harmful,Hindi
तू हर वक्त माल में घुसा रहता है।,Harmful,Hindi
तेरी बातें सिर्फ साली रंडी जैसी लगती हैं।,Harmful,Hindi
तू लंड खजूर जैसा दिखता है।,Harmful,Hindi
तेरी सोच बिल्कुल मूर्ख जैसी है।,Harmful,Hindi
तुझे देखकर हर कोई बोलेगा गस्ती।,Harmful,Hindi
तेरी सोच गांडफाड़ जैसी गंदी है।,Harmful,Hindi
तू भोसड़ी जैसी बातें करता है।,Harmful,Hindi
तेरा मुंह चूची जैसा दिखता है।,Harmful,Hindi
तू पूरा भड़वा निकल गया।,Harmful,Hindi
तेरी शक्ल देख भोसड़ी के याद आ जाती है।,Harmful,Hindi
तेरे जैसे साला कुत्ता हर गली में भौंकता है।,Harmful,Hindi
तेरा दिमाग पूरा भोसड़ी के घास चरने गया है।,Harmful,Hindi
साले भडवे तुझसे बात करके ही गुस्सा आ जाता है।,Harmful,Hindi
तुझ जैसे लंड चूस करने वाले से कोई उम्मीद नहीं।,Harmful,Hindi
तू तो एक नंबर का गांड फाड़ू इंसान है।,Harmful,Hindi
तेरी औकात नहीं बेहेनचोद।,Harmful,Hindi
तेरे जैसा भंगी इंसान किसी काम का नहीं।,Harmful,Hindi
चूतिये तेरी सोच का इलाज नहीं।,Harmful,Hindi
तेरे जैसा गुच्चु हर जगह बदनाम है।,Harmful,Hindi
तुझे भूतनी के पकड़ के पीटेगी।,Harmful,Hindi
तेरा काम ही है रांड जैसी हरकतें करना।,Harmful,Hindi
तेरे जैसा सुअर के लंड का बच्चा कभी सुधरेगा नहीं।,Harmful,Hindi
साले गांडू तेरे जैसा कोई नहीं देखा।,Harmful,Hindi
तेरे जैसे भोसड़ी के की शक्ल देखते ही उल्टी आ जाए।,Harmful,Hindi
तु क्या झांट के कीड़े जैसा पैदा हुआ है,Harmful,Hindi
तुझे तो हवस के पुजारी ही कह सकते हैं।,Harmful,Hindi
तेरी बातें सुनकर लगता है कमीना ही है।,Harmful,Hindi
तू मादरचोद अपनी औकात भूल गया है।,Harmful,Hindi
तेरा चेहरा देख के मुत्थल जैसी फीलिंग आती है।,Harmful,Hindi
तुझसे गंदी चूची कोई नहीं।,Harmful,Hindi
तेरा मूंह देखकर ही लंड खजूर याद आ गया।,Harmful,Hindi
तू साला कुत्ता कमीना है।,Harmful,Hindi
तेरे जैसी घस्सी हर जगह होती है।,Harmful,Hindi
तुझसे बात करना भोसड़ी के जैसा टाइम वेस्ट है।,Harmful,Hindi
तेरे जैसे झांटु को कोई काम नहीं देता।,Harmful,Hindi
साले सुअर की औलाद तुझे शर्म नहीं आती,Harmful,Hindi
तेरी भोसड़ी में दम नहीं है।,Harmful,Hindi
तुझे लंड के बक्कल में बंद कर देना चाहिए।,Harmful,Hindi
तेरे जैसा हिजड़ा मर्द बनके क्या करेगा,Harmful,Hindi
साले हरामी तुझे तमीज सिखानी पड़ेगी।,Harmful,Hindi
तेरी औकात पाकी जैसी है।,Harmful,Hindi
तु माल के पीछे भागता ही रहता है।,Harmful,Hindi
तेरे जैसे भोसड़ी के के साथ कौन रहेगा।,Harmful,Hindi
तेरी शक्ल देखकर रंडी रोना आ जाए।,Harmful,Hindi
तु साला कुत्ते की जात का है।,Harmful,Hindi
तेरे जैसी भडवागिरी दुनिया में नहीं मिलेगी।,Harmful,Hindi
तू तो लंड टोपि पहन के घूमता है।,Harmful,Hindi
तेरी माँ की चूत में जा।,Harmful,Hindi
तेरे जैसा भोसड़ी के को मैं सीधा कर दूंगा।,Harmful,Hindi
तेरी गिनती नजायज औलाद में ही होती है।,Harmful,Hindi
तु गांडफटु लोगों का राजा है।,Harmful,Hindi
तेरे जैसे गस्ती लड़के कोई पसंद नहीं करते।,Harmful,Hindi
तेरे जैसी घास्टी को देख के कोई बोलेगा नहीं।,Harmful,Hindi
तु हर वक्त भोसड़ी के जैसा मुंह खोलता है।,Harmful,Hindi
तु लंड का चूहा है।,Harmful,Hindi
तेरी हरकतें चूत का चूरन जैसी फालतू हैं।,Harmful,Hindi
तु पूरा चूत का मैल लग रहा है।,Harmful,Hindi
तुझ जैसे कुत्ते की औलाद से कौन दोस्ती करेगा।,Harmful,Hindi
तु साला कुत्ता तुझे तमीज नहीं।,Harmful,Hindi
तुझे देखकर हर कोई बोलेगा भडवा ही है।,Harmful,Hindi
आप बहुत अच्छे इंसान हैं।,Non-Harmful,Hindi
मुझे आपकी मदद की जरूरत थी धन्यवाद।,Non-Harmful,Hindi
आपकी सोच बहुत सकारात्मक है।,Non-Harmful,Hindi
आज मौसम बहुत अच्छा है।,Non-Harmful,Hindi
आप हमेशा सच्चाई के साथ रहते हो।,Non-Harmful,Hindi
आपकी मेहनत एक दिन रंग लाएगी।,Non-Harmful,Hindi
चलिए मिलकर कुछ अच्छा काम करते हैं।,Non-Harmful,Hindi
आपका व्यवहार बहुत ही सरल और अच्छा है।,Non-Harmful,Hindi
आप बहुत ही विनम्र व्यक्ति हैं।,Non-Harmful,Hindi
आपके शब्द हमेशा दिल को छू जाते हैं।,Non-Harmful,Hindi
ईमानदारी सबसे बड़ी पूंजी है।,Non-Harmful,Hindi
पढ़ाई से जीवन में सफलता मिलती है।,Non-Harmful,Hindi
दोस्ती एक अनमोल रिश्ता है।,Non-Harmful,Hindi
